Y,coal,iron,gold,diamond,emerald,lapis,redstone,copper
-63,0,556738,910202,2426716,0,580364,5928556,0
-62,0,1104879,1894910,4784898,0,1155078,11469007,0
-61,0,1658925,2966245,7109686,0,1728078,16710818,0
-60,0,2207030,4114884,9384153,0,2303879,21635867,0
-59,0,2807510,5345168,11588890,0,2875456,26207087,0
-58,0,3068599,5538784,11427118,0,2864141,25301959,0
-57,0,3502158,5713012,11246540,0,2842171,24351231,0
-56,0,3932754,5882839,11057494,0,2822807,23406138,0
-55,0,4053171,6040719,10852554,0,2789922,22569016,0
-54,0,4171841,6186889,10623261,0,2741116,21707801,0
-53,0,4273302,6349060,10434086,0,2720277,20846546,0
-52,0,4356970,6490585,10225499,0,2684217,19962520,0
-51,0,4389140,6631999,10045358,0,2664369,18997139,0
-50,0,4413574,6451979,9872263,0,2648068,18145192,0
-49,0,4416196,5198279,9710261,0,2634099,17311854,0
-48,0,4399752,3970083,9559951,0,2619689,16479717,0
-47,0,4557510,3824753,9440057,0,2606734,15724102,0
-46,0,4693026,4007505,9311637,0,2596882,14959300,0
-45,0,4810287,4176276,9163003,0,2580367,14164197,0
-44,0,4873942,4341653,8994918,0,2565501,13346188,0
-43,0,4902290,4497368,8823976,0,2542097,12527316,0
-42,0,4887705,4644167,8659999,0,2522585,11716155,0
-41,0,4840357,4790206,8474061,0,2496403,10890839,0
-40,0,4750172,4942686,8324901,0,2476272,10083993,0
-39,0,4876257,5150119,8248261,0,2480308,9421372,0
-38,3,4967312,5353509,8180601,0,2491043,8737181,0
-37,0,5024563,5545010,8095633,0,2494872,8032756,0
-36,1,5034815,5735060,7996273,0,2496307,7312957,0
-35,2,5009245,5902983,7891232,0,2506078,6585159,0
-34,8,4938006,6074704,7768669,0,2571523,5866154,0
-33,0,4835992,6222786,7625333,0,2690438,5202116,0
-32,0,4700250,6364338,7495365,0,2835264,4812559,0
-31,0,4824398,6572917,7425083,0,2995993,4774381,0
-30,0,4923565,6787038,7352607,0,3164422,4789574,0
-29,0,4979491,6994400,7278332,0,3322021,4800645,0
-28,0,4994543,7184220,7184427,0,3470471,4804825,0
-27,0,4971586,7358943,7070796,0,3615418,4799455,0
-26,0,5172775,7515295,6952473,0,3753140,4776350,0
-25,0,5609946,7649294,6808574,0,3878091,4753510,0
-24,0,6066434,7766926,6672101,0,4003145,4708023,0
-23,9,6775848,7963135,6588582,0,4156987,4732528,0
-22,13,7454919,8181343,6518882,0,4315733,4743779,0
-21,41,8101656,8374904,6427033,0,4485271,4746392,0
-20,36,8703638,8545143,6328907,0,4628040,4742435,792
-19,45,9275172,8713406,6226864,0,4763132,4735104,75757
-18,72,9801809,8824053,6107023,141,4899214,4715339,399135
-17,71,10292669,8767175,5970812,452,5017960,4697004,968389
-16,82,10721112,8559851,5842612,802,5138368,4652877,1599855
-15,103,11443411,8426358,5777375,1064,5316151,4686905,2268059
-14,126,12114865,8273920,5723044,1336,5488049,4708241,2944726
-13,154,12765090,8121930,5635489,1727,5646448,4710887,3631150
-12,130,13376576,7952996,5548419,2003,5798556,4709570,4313682
-11,123,13947324,7754797,5453548,2375,5952663,4707019,5000046
-10,168,14478450,7554923,5346905,2757,6082513,4700764,5696592
-9,167,14966314,7315153,5220926,3035,6192134,4685863,6390276
-8,175,15384202,7088180,5097689,3326,6301965,4636184,7044130
-7,171,15393681,6967832,5046174,3759,6509829,4689713,7837439
